               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.3844,               1.116,              1.5813,             0.81365,             0.76959,             0.84758,             0.61032,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.3816,              1.0959,              1.5654,             0.83129,             0.75631,             0.85036,             0.61703,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3808,              1.0943,              1.5719,             0.81169,             0.77603,             0.85636,             0.61764,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.3738,              1.0922,              1.5715,             0.83332,             0.77686,              0.8616,             0.61935,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.3589,              1.0664,              1.5709,             0.82284,             0.77727,             0.85768,             0.61653,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.3491,              1.0513,              1.5555,             0.84154,             0.77725,              0.8642,             0.62095,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,               1.342,              1.0484,              1.5574,             0.84357,             0.76253,             0.86118,             0.62425,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.3459,              1.0498,              1.5478,             0.81483,             0.78684,             0.85139,             0.61721,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.3398,              1.0374,              1.5445,             0.83614,             0.76883,             0.86051,             0.62654,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.3243,              1.0203,              1.5389,             0.82701,             0.78033,              0.8639,              0.6288,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.3129,              1.0148,               1.544,             0.83346,             0.78294,             0.86588,             0.62847,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.3302,              1.0123,              1.5496,             0.83151,              0.7885,             0.87076,             0.63287,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.3112,              1.0027,              1.5279,             0.83316,             0.80052,             0.87509,             0.63559,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.3058,             0.97076,              1.5203,             0.84903,             0.77111,             0.86631,             0.63432,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.3035,             0.98079,              1.5174,             0.84658,             0.78464,             0.86957,             0.63614,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.2887,             0.96576,              1.5063,             0.82727,             0.79372,              0.8696,             0.63914,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,               1.275,             0.94846,              1.5134,             0.86672,             0.77133,             0.87296,             0.63899,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.2769,             0.94098,              1.5082,             0.84301,             0.79088,             0.87293,             0.63807,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.2768,             0.94936,              1.5099,             0.84492,             0.79078,             0.87449,             0.63991,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.2702,             0.93237,              1.4966,             0.86041,             0.78669,             0.87467,             0.64031,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.2609,              0.9237,              1.4886,              0.8518,             0.79778,             0.87213,             0.63974,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.2504,             0.90633,              1.4868,             0.83772,             0.80724,             0.87329,             0.64131,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,               1.246,             0.90372,              1.4844,             0.84893,             0.79872,             0.87487,              0.6418,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.2478,             0.90615,              1.4843,             0.84107,             0.80587,             0.87727,             0.64587,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.2337,             0.88132,              1.4669,             0.84316,             0.79952,             0.87775,             0.64626,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.2307,             0.87938,              1.4755,             0.84434,             0.80107,             0.87921,             0.64897,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.2283,             0.86694,              1.4759,             0.85921,             0.79093,             0.87701,             0.64749,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.2201,             0.86905,              1.4721,             0.84315,             0.81243,             0.88234,             0.65183,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.2178,             0.86411,              1.4703,               0.854,             0.80797,             0.87789,             0.64918,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.2069,             0.85386,              1.4653,             0.85868,             0.79893,             0.87882,             0.65001,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.2026,             0.84402,              1.4569,             0.86245,             0.80078,             0.88109,             0.65134,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.1943,             0.82904,              1.4513,              0.8721,             0.79658,             0.88108,             0.65337,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.1872,             0.81843,              1.4438,             0.86955,             0.79303,             0.88229,             0.65285,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,                1.18,             0.80954,              1.4435,             0.86195,             0.80196,             0.88235,             0.65512,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.1773,             0.80623,              1.4393,             0.86676,             0.80315,             0.88389,              0.6552,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.1667,             0.79661,              1.4293,             0.88088,             0.79309,             0.88529,             0.65803,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.1627,             0.79164,              1.4245,             0.88173,              0.7944,             0.88512,             0.65701,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.1494,             0.77507,              1.4237,                0.89,             0.78027,             0.88444,             0.65683,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.1533,             0.77657,              1.4308,             0.87058,             0.79834,             0.88372,             0.65596,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.1415,              0.7686,              1.4185,             0.86696,             0.79945,             0.88332,             0.65695,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.1347,             0.76543,              1.4222,             0.87478,              0.7918,             0.88357,             0.65697,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.1285,              0.7584,              1.4137,               0.878,             0.78512,             0.88292,              0.6567,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.1343,             0.75626,              1.4151,             0.86229,             0.80545,             0.88436,             0.65779,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.1273,             0.74478,              1.4123,             0.87906,             0.79319,             0.88664,             0.65842,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.1133,              0.7409,              1.4053,             0.88482,             0.79029,             0.88583,             0.65763,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.96105,             0.53859,              1.3419,             0.87898,             0.79376,             0.88429,             0.65801,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.94638,              0.5262,              1.3268,             0.85249,             0.81672,             0.88422,             0.65867,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
